Headline,Publication,Summary,Date
Eerste Kamer voor invoering Omgevingswet op 1 januari,"NRC.nl, 246 words",,12/7/2022
Handelsverdrag Ceta zeilt door Eerste Kamer met hulp van PvdA,"De Volkskrant.nl, 362 words",,12/7/2022
"Niet sexy, wel goed voor het land","NRC.nl, 446 words",,12/7/2022
"Niet sexy, wel goed voor het land Column","NRC, IN HET NIEUWS; Blz. 2, 476 words",,12/7/2022
Na twee jaar misschien schot in bouwplan pastorie Schijf,"AD/Algemeen Dagblad.nl, 483 words",,17/7/2022
Extra bescherming voor stuwwal en Groesbeeks bos: gebieden waarmee Berg en Dal voorzichtig is,"AD/Algemeen Dagblad.nl, 416 words",,28/7/2022
Tegen ongezond eten kunnen gemeentes vrijwel niets doen,"NRC.nl, 1942 words",,28/7/2022
Tegen ongezond eten kunnen gemeentes vrijwel niets doen Fastfood,"NRC, BINNENLAND; Blz. 8, 2014 words",,29/7/2022
Breda doet mee aan experiment sociale koop: ‘Meer betaalbare woningen op voorraad’,"AD/Algemeen Dagblad.nl, 457 words",,1/8/2022
Bouwplan voor religieus centrum (van 8 miljoen euro) in Dussen wordt pas in 2023 concreet,"AD/Algemeen Dagblad.nl, 599 words",,2/8/2022
‘Modern’ boerenerf Zundert stapje dichterbij: ‘Ik geloof hier heilig in’,"AD/Algemeen Dagblad.nl, 297 words",,2/8/2022
Met haar vast in rooster zwembad: ‘Iemand wegrollen heeft meer kans dan trekken’,"AD/Algemeen Dagblad.nl, 1045 words",,2/8/2022
"Verdrinkingsdrama is het gesprek van de dag: ‘Badmeester, is mijn kind hier wel veilig?’","AD/Algemeen Dagblad.nl, 915 words",,3/8/2022
"Wel zonnen, niet roken? In Renesse (en heel veel buitenlanden) vinden ze dat al heel normaal","AD/Algemeen Dagblad.nl, 999 words",,4/8/2022
Ministerie was te rooskleurig over Omgevingswet,"NRC.nl, 731 words",,8/8/2022
Verkeerd informeren 'niet de bedoeling',"NRC, BINNENLAND; Blz. 8, 772 words",,9/8/2022
"Zo gaat dat dus, de Kamer verkeerd informeren","De Volkskrant.nl, 538 words",,9/8/2022
"Zo gaat dat dus, de Kamer verkeerd informeren","de Volkskrant, Ten Eerste; Blz. 2, 566 words",,10/8/2022
Misschien is het bos voor niks gekapt,"NRC.nl, 4143 words",,10/8/2022
De Jonge informeerde Eerste Kamer verkeerd' Ministerie: suggestie Ongelukkig,"De Telegraaf, BINNENLAND; Blz. 4, 140 words",,10/8/2022
"Misschien is het bos voor niks gekapt Sterrebos En toen was het bos gekapt, maar was dat wel nodig?","NRC, VOORPAGINA; Blz. 1, 4200 words",,11/8/2022
Haagse machtsgreep valt verkeerd in VVD,"De Telegraaf, BINNENLAND; Blz. 3, 315 words",,18/8/2022
"Zelfde papiertje, zes keer zo duur Prijs bouwvergunning loopt sterk uiteen","De Telegraaf, BINNENLAND; Blz. 4, 587 words",,26/8/2022
Hart Meierijstad boos over ‘een-tweetje’ wethouder met horecabedrijf,"AD/Algemeen Dagblad.nl, 319 words",,2/9/2022
Vught laat inwoners met fotowedstrijd en workshops meedenken over de toekomst,"AD/Algemeen Dagblad.nl, 277 words",,6/9/2022
Gemeenten klaar met motorgeronk Petitie bij Tweede Kamer vanwege lawaai,"De Telegraaf, BINNENLAND; Blz. 12, 586 words",,7/9/2022
"Alles lijkt gereed, maar tóch komen de windmolens in polder Rijnenburg er niet zomaar: dit is waarom","AD/Algemeen Dagblad.nl, 595 words",,13/9/2022
Een half jaar Forum in Alphen: ‘Ik zit hier niet om overal tegen te zijn’,"AD/Algemeen Dagblad.nl, 676 words",,18/9/2022
"Waar gaat het geld naartoe? Overal, om de crises van Nederland te bezweren","NRC.nl, 3911 words",,20/9/2022
Waar gaat het geld naartoe? Het kabinet investeert breed,"NRC, VOORPAGINA; Blz. 1, 3682 words",,21/9/2022
Meerderheid ambtenaren vreest vastlopen dienstverlening als Omgevingswet op 1 januari wordt ingevoerd,"De Volkskrant.nl, 464 words",,27/9/2022
Meerderheid ambtenaren vreest vastlopen dienstverlening bij snelle invoering Omgevingswet,"de Volkskrant, Ten Eerste; Blz. 12, 432 words",,28/9/2022
Politiek beïnvloedt rechtshandhaving meer dan we willen weten,"NRC.nl, 761 words",,6/10/2022
Alternatief voor gasverwarming Zwolse huizen laat op zich wachten: ‘Maar we zijn hoopvol over aardwarmte’,"AD/Algemeen Dagblad.nl, 781 words",,8/10/2022
"Op zolder mag je niet slapen, staat in de koopakte – te veel herrie","NRC.nl, 1387 words",,10/10/2022
Ict-adviescollege waarschuwt: ‘grote maatschappelijke risico’s’ bij invoering Omgevingswet,"NRC.nl, 620 words",,11/10/2022
Op zolder mag je niet slapen - te veel herrie,"NRC, IN HET NIEUWS; Blz. 6, 1294 words",,11/10/2022
Te veel geluid bij nieuwbouwhuis,"NRC, VOORPAGINA; Blz. 1, 688 words",,11/10/2022
Ingezonden brieven: ‘Ik schaam mij voor dit gave land’,"De Volkskrant.nl, 982 words",,11/10/2022
Maatschappelijke risico's' bij invoering Omgevingswet,"NRC, IN HET NIEUWS; Blz. 2, 568 words",,12/10/2022
"Nut en noodzaak nieuwe Omgevingswet is raadsel OPINIE Eric Meijer, Johan van Oldebarnevelt Stichting","De Telegraaf, BINNENLAND; Blz. 19, 594 words",,12/10/2022
Geachte redactie,"de Volkskrant, Opinie; Blz. 29, 625 words",,12/10/2022
"Bijna 1,7 miljoen extra te besteden voor Meierijstad","AD/Algemeen Dagblad.nl, 334 words",,13/10/2022
Te weinig hulp bij wegopbreking' Gemeente stelt: we leveren maatwerk,"De Telegraaf, REGIO; Blz. 12, 465 words",,13/10/2022
Ambitieuze bouwambities. Maar zijn ze ook haalbaar?,"NRC.nl, 1979 words",,13/10/2022
Minister De Jonge stelt invoering Omgevingswet toch half jaar uit,"NRC.nl, 405 words",,14/10/2022
"Ambitieuze bouwplannen, maar zijn ze ook haalbaar? Een ambitieus plan 917.000 Zijn zoveel woningen haalbaar vóór 2031? 917.000 woningen moeten er tot en met 2030 gebouwd worden, zeggen kabinet en provincies. Maar hoe haalbaar is dat?","NRC, VOORPAGINA; Blz. 1, 1951 words",,14/10/2022
Woon je in Woerden? Dan ben je in 2023 meer kwijt aan lokale belastingen: ‘Flinke lastenverzwaring’,"AD/Algemeen Dagblad.nl, 605 words",,16/10/2022
Er staan meer files dan ooit. Dat is de schuld van de Tesla,"NRC.nl, 1072 words",,18/10/2022
"Roosendaal mag 4400 woningen bouwen, maar heeft er 10.000 nodig: ‘Er ligt een mega-opgave’","AD/Algemeen Dagblad.nl, 581 words",,19/10/2022
Na een bezoekje van deze camper moeten de dorpen voelen dat ze er helemaal bij horen in Oss,"AD/Algemeen Dagblad.nl, 680 words",,21/10/2022
"Plek zat in de stad, maar woningbouw in dorpen is ‘andere koek’: Roosendaal zoekt creatieve ideeën","AD/Algemeen Dagblad.nl, 463 words",,22/10/2022
"Het Feestaardvarken gaat naar Sonsbeek, dit is wat er gaat gebeuren met zijn oude stek in het Bartokpark","AD/Algemeen Dagblad.nl, 296 words",,28/10/2022
"Deze vijf obstakels blokkeren de woningbouw in Nederland, maar er zijn ook lichtpuntjes","De Volkskrant.nl, 971 words",,4/11/2022
Bouw van het Vijfde Dorp in de Zuidplaspolder loopt vertraging op,"AD/Algemeen Dagblad.nl, 298 words",,5/11/2022
"Stilvallen projectenDeze obstakels blokkeren de woningbouw, maar er zijn vijf lichtpuntjes","de Volkskrant, Economie; Blz. 17, 908 words",,5/11/2022
Kinderen van laagopgeleiden zijn zwaarder en worden vaker blootgesteld aan tabaksrook,"NRC.nl, 531 words",,9/11/2022
Van Disneypark naar een eigen natuurpark in Bosschenhoofd : ‘Het wordt geen tweede Efteling’,"AD/Algemeen Dagblad.nl, 617 words",,11/11/2022
Loon op Zand op tournee langs inwoners: hoe wil je dat jouw gemeente er in 2040 uitziet?,"AD/Algemeen Dagblad.nl, 321 words",,17/11/2022
Vanuit Twente wil De Nieuwe Denktank het politieke midden versterken: ‘Er mist visie en debat’,"AD/Algemeen Dagblad.nl, 1639 words",,18/11/2022
Huizen slopen voor groen om de stad gezond te houden? ‘Kan in Utrecht opnieuw gebeuren’,"AD/Algemeen Dagblad.nl, 685 words",,21/11/2022
Zes West-Brabanders op kandidatenlijst VVD voor Provinciale Staten,"AD/Algemeen Dagblad.nl, 120 words",,26/11/2022
Alle seinen op rood voor woningbouw: ‘Die 900.000 huizen komen er never nooit niet’,"AD/Algemeen Dagblad.nl, 1717 words",,27/11/2022
Oud-inspecteur: ‘De leefomgeving is in gevaar zonder rijkstoezicht’,"NRC.nl, 1642 words",,30/11/2022
Omwonenden Westparallel in ongewisse over aanpak geluidsoverlast: ‘Ik vrees dat er nooit een oplossing komt!’,"AD/Algemeen Dagblad.nl, 459 words",,1/12/2022
Leefomgeving is in gevaar zonder rijkstoezicht',"NRC, BINNENLAND; Blz. 10, 1665 words",,1/12/2022
"Zo voorkom je een burenruzie over houtstook in kachel: ‘Praat op een rustige manier, zonder verwijten’","AD/Algemeen Dagblad.nl, 1036 words",,12/12/2022
"Gelderse bodem is niet schoon, maar gevaarlijk is het nergens","AD/Algemeen Dagblad.nl, 781 words",,13/12/2022
"Stökskesweg ontsluitingsweg nieuwe wijk Bergeijk , maar wordt niet aangepast","AD/Algemeen Dagblad.nl, 416 words",,16/12/2022
Borne gaat met dikke ‘leeflaag’ asbestvervuiling te lijf,"AD/Algemeen Dagblad.nl, 381 words",,19/12/2022
‘De stroomvoorziening gaat compleet anders werken’,"NRC.nl, 1807 words",,20/12/2022
Nieuwe partij Alliantie lonkt bij Statenverkiezing naar in CDA teleurgestelde kiezers; zieltjes winnen in Deurne,"AD/Algemeen Dagblad.nl, 468 words",,21/12/2022
We zullen nog lange tijd last houden van files op het stroomnet' Het stroomnet raakt vol Speciaal coördinator Voorhorst: 'De stroomvoorziening gaat compleet anders werken',"NRC, ECONOMIE; Blz. 1, 1855 words",,21/12/2022
Nieuwe partij Alliantie lonkt bij Statenverkiezing naar in CDA teleurgestelde kiezers,"AD/Algemeen Dagblad.nl, 307 words",,22/12/2022
"De Grote NRC-Nieuwsquiz 52 vragen over 2022 Wat was #quietqitting? Wie had 4 miljoen in z'n bankstel verstopt? Wie voelde zich ,,Arabier, gay en arbeidsmigrant""? De grote NRC-nieuwsquiz van 2022. Weekend Nieuwsquiz Wie verstopte 4 miljoen in een bankstel? En waar stonden mensen 14 uur voor in de rij? 52 vragen over 2022","NRC, VOORPAGINA; Blz. 1, 2411 words",,31/12/2022
"Arco Hofland kritisch in zijn laatste nieuwjaarstoespraak in Rijssen-Holten: ‘Weg met de bureaucratie, leve de menselijke maat’","AD/Algemeen Dagblad.nl, 246 words",,2/1/2023
"Wat brengt 2023 voor Boxtel, Schijndel en Gestel?","AD/Algemeen Dagblad.nl, 1558 words",,2/1/2023
Een overzicht: 9 x dit verandert er in 2023 voor Arnhemmers,"AD/Algemeen Dagblad.nl, 722 words",,3/1/2023
"Industrieterrein mag geen extra geluid meer produceren, grens is bereikt in Klundert","AD/Algemeen Dagblad.nl, 449 words",,5/1/2023
"Huren én kopen te duur, waar moet je als starter dan wonen?","AD/Algemeen Dagblad.nl, 800 words",,10/1/2023
"Invoering Omgevingswet voor vijfde keer uitgesteld, nu naar januari 2024","NRC.nl, 391 words",,26/1/2023
"Nog geen juridische stappen mogelijk tegen imkers in Biesbosch, en dat gaat ten koste van wilde bijen","AD/Algemeen Dagblad.nl, 578 words",,26/1/2023
"Omgevingswet weer uitgesteld, nu tot 2024","de Volkskrant, Ten Eerste; Blz. 6, 106 words",,27/1/2023
Ruimtelijke ordening Invoering Omgevingswet opnieuw uitgesteld,"NRC, IN HET NIEUWS; Blz. 6, 112 words",,27/1/2023
Waalwijk zoekt hard naar plek voor flexwoningen: bij Landgoed Driessen of toch ergens anders?,"AD/Algemeen Dagblad.nl, 450 words",,30/1/2023
Wat betekent het Schone Lucht Akkoord voor Kanaalzone? ‘Dit is een belofte aan onze inwoners’,"AD/Algemeen Dagblad.nl, 460 words",,30/1/2023
Hoe kwetsbaar is Berg en Dal voor criminele ondermijning?,"AD/Algemeen Dagblad.nl, 444 words",,7/2/2023
Een nieuwe wet geeft het kabinet de macht om woningbouw af te dwingen,"NRC.nl, 529 words",,16/2/2023
Kabinet wil woningbouw afdwingen Volkshuisvesting Minister De Jonge wil vanaf volgend jaar woningbouw in gemeenten kunnen afdwingen,"NRC, ECONOMIE; Blz. 1, 578 words",,17/2/2023
Wordt de geluidsisolatie rond Schiphol te karig? ‘Geld mag nooit belangrijker zijn dan de gezondheid van bewoners’,"AD/Algemeen Dagblad.nl, 1714 words",,18/2/2023
Onderzoek verrast TU Delft zelf: slim bouwen bij Schiphol vermindert de geluidshinder,"AD/Algemeen Dagblad.nl, 868 words",,20/2/2023
"Vliegtuigherrie kwelt omgeving: ‘Continu overlast, daar worden mensen gestoord van’","AD/Algemeen Dagblad.nl, 655 words",,21/2/2023
Omgevingswet heeft in Eerste Kamer eindelijk de benodigde steun en komt volgende week in stemming,"NRC.nl, 627 words",,7/3/2023
Voor Omgevingswet tekent zich nu een meerderheid af,"NRC, IN HET NIEUWS; Blz. 2, 524 words",,8/3/2023
"‘Eruit, eruit, in jezusnaam’ Tom de Wal niet blij met vergelijking met Jomanda: ‘Belediging van evangelie’","AD/Algemeen Dagblad.nl, 577 words",,9/3/2023
"‘Eruit, eruit, in jezusnaam’ Tom de Wal niet blij met vergelijking met Jomanda: ‘Belediging van evangelie’","AD/Algemeen Dagblad.nl, 574 words",,9/3/2023
Oproep aan boomers: geef je stem weg,"De Volkskrant.nl, 647 words",,9/3/2023
Geachte redactie,"de Volkskrant, Opinie; Blz. 25, 521 words",,10/3/2023
"Corona, gaswinning, inflatie: wat de reden ook is, demonstranten in het Zuiderpark zijn boos op de overheid","De Volkskrant.nl, 670 words",,12/3/2023
"Corona, gaswinning, inflatie: wat de reden ook is, in het Zuiderpark zijn ze boos op de overheid","de Volkskrant, Ten Eerste; Blz. 4, 5, 656 words",,13/3/2023
Grootste wetgevingsoperatie sinds de Tweede Wereldoorlog gaat per 1 januari 2024 in (dit keer echt),"De Volkskrant.nl, 630 words",,14/3/2023
Senaat stemt in: Omgevingswet definitief van kracht in 2024,"de Volkskrant, Ten Eerste; Blz. 10, 480 words",,15/3/2023
ZLTO staakt verzet tegen Proeftuin Elsendorp,"AD/Algemeen Dagblad.nl, 451 words",,17/3/2023
Het kabinet als speelbal van de laatste dagkoersen van het volkssentiment,"De Volkskrant.nl, 587 words",,17/3/2023
Het kabinet als speelbal van de dagkoersen van het volkssentiment,"de Volkskrant, Ten Eerste; Blz. 2, 598 words",,18/3/2023
CDA zet opnieuw in op permanente bewoning voor L’Air Pur,"AD/Algemeen Dagblad.nl, 327 words",,21/3/2023
Maashorst geeft stoppende boeren perspectief met maatwerk voor plannen,"AD/Algemeen Dagblad.nl, 212 words",,21/3/2023
Wobine Buijs nieuwe voorzitter GGD Hart voor Brabant,"AD/Algemeen Dagblad.nl, 203 words",,24/3/2023
Grote tegenslag voor tegenstanders houtstook in Amersfoort : ‘mensonterende’ overlast niet aangepakt,"AD/Algemeen Dagblad.nl, 556 words",,24/3/2023
"Waarom heel Nederland meer huizen wil, maar Druten toch even wacht met nieuwe plannen","AD/Algemeen Dagblad.nl, 789 words",,27/3/2023
Wie wil verbouwen of een boom wil kappen hoeft nog maar bij één loket aan te kloppen in Drimmelen,"AD/Algemeen Dagblad.nl, 300 words",,28/3/2023
"Steeds vaker denk ik: overheid, doe maar liever even niets","De Volkskrant.nl, 857 words",,31/3/2023
Wél kansen om overlast houtstook aan te pakken en kunnen er wel flexwoningen komen in Amersfoort?,"AD/Algemeen Dagblad.nl, 403 words",,1/4/2023
"Steeds vaker denk ik: overheid, doe maarliever even niets","de Volkskrant, Zaterdag; Blz. 14, 879 words",,1/4/2023
De discussie over koopzondag is terug in Harderwijk; ‘Geen behoefte aan’,"AD/Algemeen Dagblad.nl, 790 words",,13/4/2023
"Opinie: Grondwet moet weer bij de tijd gebracht worden, als fundament voor goed bestuur","De Volkskrant.nl, 9644 words",,15/4/2023
Windmolens op Deventer erven mogen met 50 meter straks stuk hoger zijn; raadslid vreest geen gedoe met buren,"AD/Algemeen Dagblad.nl, 370 words",,20/4/2023
Raad van State bezorgd over ingewikkelde wetten: ‘Gebrekkige uitvoerbaarheid is een hardnekkig probleem’,"De Volkskrant.nl, 1028 words",,20/4/2023
Het jaarverslag van de Raad van State lijkt opgesteld door een klokkenluider die de academische toon laat varen,"NRC.nl, 648 words",,21/4/2023
Gesteggel over legaliseren tiny house en yurt in buitengebied Winterswijk: raad komt er niet uit,"AD/Algemeen Dagblad.nl, 317 words",,21/4/2023
De overheid kan nu eenmaal niet alle leed oplossen',"de Volkskrant, Ten Eerste; Blz. 11, 1001 words",,21/4/2023
Senatoren: ‘Ministers moeten ook de rechtsstaat verdedigen’,"NRC.nl, 1428 words",,30/4/2023
Waterspeeltuinen in Delft gaan op de schop: ‘Niet meer spelen in water maar spelen met water’,"AD/Algemeen Dagblad.nl, 606 words",,3/5/2023
Grote wetswijziging kan onteigening boeren vertragen,"NRC.nl, 1068 words",,8/5/2023
De onteigening wordt nog lastiger,"NRC, BINNENLAND; Blz. 8, 1081 words",,9/5/2023
Moet de houtkachel straks uit als er weinig wind staat in Nijmegen? ‘Gezondheid moet vooropstaan’,"AD/Algemeen Dagblad.nl, 485 words",,10/5/2023
Wij zijn niet de wasstraat van de samenleving',"NRC, BINNENLAND; Blz. 10, 1240 words",,12/5/2023
Aardwarmte? Veel Brabanders komen van een koude kermis thuis nu de regels een stuk strenger worden,"AD/Algemeen Dagblad.nl, 1784 words",,13/5/2023
Moerdijk: minder controles door personeelstekort,"AD/Algemeen Dagblad.nl, 454 words",,15/5/2023
Zoek je huurwoning in regio Woerden? Dan moet je 10 jaar wachten (maar er zijn oplossingen),"AD/Algemeen Dagblad.nl, 579 words",,18/5/2023
"Gemeente, ProRail en ministerie praten Oldenzalers bij over ontwikkelingen op het spoor: ‘Onbegrijpelijk dat het zo lang moet duren’","AD/Algemeen Dagblad.nl, 516 words",,22/5/2023
Dove gevel tegen verkeerslawaai 'Bouwen langs weg en spoor mogelijk',"De Telegraaf, REGIO; Blz. 12, 453 words",,25/5/2023
De mythes en feiten rond windmolens in Twente: een update,"AD/Algemeen Dagblad.nl, 998 words",,26/5/2023
"Willen we een gezonder Nederland? Focus dan eindelijk eens op preventie, zegt deze hoogleraar","De Volkskrant.nl, 1819 words",,26/5/2023
Gezondheid voorop,"de Volkskrant, Boeken en Wetenschap; Blz. 14, 15, 16, 17, 1736 words",,27/5/2023
Personeelstekort bij Molenlanden: aanvragen voor bouwplannen voorlopig in de ijskast,"AD/Algemeen Dagblad.nl, 659 words",,29/5/2023
"Bouwen bij drukke snelwegen, Rotterdam wil het: ‘Op het gebied van gezondheid baart ons dat grote zorgen’","AD/Algemeen Dagblad.nl, 654 words",,5/6/2023
Kritiek op omgevingsdienst Odzob niet voor het eerst: ‘Met lood in de schoenen naar vergaderingen’,"AD/Algemeen Dagblad.nl, 721 words",,5/6/2023
Rampkruising buiten Goirle verdient rotonde maar krijgt verkeerslichten,"AD/Algemeen Dagblad.nl, 258 words",,6/6/2023
Componistenkwartier krijgt klein broertje bij Sibeliusflat in Oss,"AD/Algemeen Dagblad.nl, 186 words",,7/6/2023
14 dingen die je beter niet kunt doen tijdens de eerste date,"NRC.nl, 863 words",,12/6/2023
14 dingen die je beter niet kunt doen tijdens de eerste date Japke-d. denkt mee,"NRC, LEVEN; Blz. 8, 837 words",,13/6/2023
Ook in de wijk Ruwaard in Oss komt indrukwekkende hoogbouw,"AD/Algemeen Dagblad.nl, 440 words",,15/6/2023
Gemeente schrikt zich rot: ‘Uitvoering nieuwe Omgevingswet gaat structureel meer geld kosten’,"AD/Algemeen Dagblad.nl, 632 words",,20/6/2023
Bunnik onder actief toezicht provincie,"De Telegraaf, REGIO; Blz. 12, 387 words",,20/6/2023
"Rooskleurig huishoudboekje voor Someren, maar achteroverleunen met ‘ravijnjaar’ op komst kan niet","AD/Algemeen Dagblad.nl, 316 words",,21/6/2023
Tegenstanders appartementen Eindhoven verrast door rechter: bouwer mag al aan de slag,"AD/Algemeen Dagblad.nl, 395 words",,30/6/2023
Even geen nieuwe plannen in Zaltbommel; eerst moet de plank leeg,"AD/Algemeen Dagblad.nl, 455 words",,30/6/2023
"Nu het festivalleven weer is opgebloeid, blijkt hoe lastig het is in de nieuwe stikstofwerkelijkheidr","De Volkskrant.nl, 1934 words",,2/7/2023
Inspraak? Inwoners Zwolle met kluitje in riet zegt dit platform: ‘Volstrekt ondoorzichtig wat er gebeurt’,"AD/Algemeen Dagblad.nl, 614 words",,3/7/2023
Op instorten en totaal verpauperd: in dit dorp is het slecht gesteld met monumentenzorg,"AD/Algemeen Dagblad.nl, 674 words",,3/7/2023
Stikken in de nieuwe werkelijkheid,"de Volkskrant, V; Blz. 4, 5, 6, 1863 words",,3/7/2023
Bewoners met plannen voor buitengebied Sint-Michielsgestel moeten nu wel héél erg lang wachten,"AD/Algemeen Dagblad.nl, 530 words",,4/7/2023
"Geen basisinkomen voor Son, wel extra geld voor nieuwe woningen en ambtenaren","AD/Algemeen Dagblad.nl, 469 words",,6/7/2023
Eeneind-West een XXL bedrijventerrein? Provincie loopt volgens Geldrop-Mierlo op de zaken vooruit,"AD/Algemeen Dagblad.nl, 445 words",,6/7/2023
Wat betekent de val van Rutte IV voor het beleid?,"NRC.nl, 1814 words",,9/7/2023
Hoe grote kwesties moeten wachten op verkiezingen en de kabinetsformatie Braakliggende dossiers,"NRC, VOORPAGINA; Blz. 1, 1971 words",,10/7/2023
Zijn populariteit groeit maar het blijft stil rond bouwplannen van evangelist Tom de Wal,"AD/Algemeen Dagblad.nl, 599 words",,12/7/2023
Wantrouwen over plannen verbindingsweg Tolberg: ‘De ene keer zegt gemeente dit de andere keer dat’,"AD/Algemeen Dagblad.nl, 516 words",,15/7/2023
Bouwwet brengt Eerste Kamer in conflict met Hugo de Jonge,"NRC.nl, 1116 words",,18/7/2023
"Ruzie met senaat om uitstel bouwwet Conflict De Eerste Kamer wil uitstel van een bouwwet, maar dat brengt de Omgevingswet in gevaar","NRC, ECONOMIE; Blz. 1, 957 words",,19/7/2023
Welstandscommissie heeft in Moerdijk z’n langste tijd gehad; omgevingswet vraagt om nieuwe kijk op bouwvergunning,"AD/Algemeen Dagblad.nl, 290 words",,20/7/2023
Tilburg ziet nieuwe kansen om overlast door vervuilende houtkachels en open haarden te beperken,"AD/Algemeen Dagblad.nl, 287 words",,20/7/2023
Door storm verwoeste schuur in Lage Zwaluwe is nu luxe vakantiewoning: ‘drama’ bleek een kans te zijn,"AD/Algemeen Dagblad.nl, 590 words",,21/7/2023
Op de meeste plekken in Twente kun je een huis laten verdwijnen,"AD/Algemeen Dagblad.nl, 395 words",,27/7/2023
Vurige wens Esch gaat in vervulling: meer sociale woningbouw voor Reigerskant,"AD/Algemeen Dagblad.nl, 469 words",,27/7/2023
Groot wellnessresort in Chaamse bossen mikt op opening in 2026: ‘Het is een gouden locatie’,"AD/Algemeen Dagblad.nl, 452 words",,4/8/2023
Groot wellnessresort in Chaamse bossen mikt op opening in 2026: ‘Het is een gouden locatie’,"AD/Algemeen Dagblad.nl, 452 words",,4/8/2023
"Gemeenten zetten risico's van gevaarlijke stoffen op een rij, maar één kaart blijft geheim","AD/Algemeen Dagblad.nl, 544 words",,5/8/2023
"Gemeenten zetten risico's van gevaarlijke stoffen op een rij, maar één kaart blijft geheim","AD/Algemeen Dagblad.nl, 544 words",,5/8/2023
Bestemmingsplannen Zaltbommel gaan jaar op slot,"AD/Algemeen Dagblad.nl, 447 words",,7/8/2023
Bestemmingsplannen Zaltbommel gaan jaar op slot,"AD/Algemeen Dagblad.nl, 447 words",,7/8/2023
Verandering in de buurt? Wijchen wil dat inwoners beter geïnformeerd worden,"AD/Algemeen Dagblad.nl, 326 words",,14/8/2023
Verandering in de buurt? Wijchen wil dat inwoners beter geïnformeerd worden,"AD/Algemeen Dagblad.nl, 325 words",,14/8/2023
Zaltbommel trapt op de rem en dat valt op in Den Haag: Kamervragen aan minister,"AD/Algemeen Dagblad.nl, 457 words",,16/8/2023
Zaltbommel trapt op de rem en dat valt op in Den Haag: Kamervragen aan minister,"AD/Algemeen Dagblad.nl, 457 words",,16/8/2023
Ze hebben ons er met twee kinderen uitgegooid' Woning van Fred bleek opeens recreatiewoning,"De Telegraaf, REGIO; Blz. 12, 519 words",,18/8/2023
Hoe het groeiende aantal festivals tot steeds meer problemen leidt: ‘Je moet alles beter regelen’,"AD/Algemeen Dagblad.nl, 1722 words",,19/8/2023
Zit Oost-Nederland aan de max als het gaat om festivals? Of is er iets anders aan de hand?,"AD/Algemeen Dagblad.nl, 1744 words",,19/8/2023
Illegaal wonen in industriegebied: vragen over de situatie van Gerard (83) en Margriet (70) die na 29 jaar hun huis in IJsselmuiden uit moeten,"AD/Algemeen Dagblad.nl, 556 words",,23/8/2023
Gerard (83) en Margriet (70) moeten na 29 jaar hun huis uit: gemeente Kampen legt uit,"AD/Algemeen Dagblad.nl, 549 words",,23/8/2023
"Boekel neemt even geen verzoeken voor grote bouwplannen in behandeling, gemeente is op zoek naar nieuwe ambtenaren","AD/Algemeen Dagblad.nl, 337 words",,26/8/2023
"Boekel neemt even geen verzoeken voor grote bouwplannen in behandeling, gemeente is op zoek naar nieuwe ambtenaren","AD/Algemeen Dagblad.nl, 338 words",,26/8/2023
Houtkachel of barbecue stoken: Deventer zint op maatregelen tegen overlast en klachten door rook,"AD/Algemeen Dagblad.nl, 560 words",,28/8/2023
Houtkachel of barbecue stoken: Deventer zint op maatregelen tegen overlast en klachten door rook,"AD/Algemeen Dagblad.nl, 557 words",,28/8/2023
Oud-Amsterdammer Lars Wijnhoud (47) is ineens wethouder in het oosten: ‘Ik heb heel veel met Deventer ’,"AD/Algemeen Dagblad.nl, 1008 words",,31/8/2023
Oud-Amsterdammer Lars Wijnhoud (47) is ineens wethouder in het oosten: ‘Ik heb heel veel met Deventer ’,"AD/Algemeen Dagblad.nl, 1008 words",,31/8/2023
Omstreden plan voor Haalderense flexwoningen vertraagd door broedende vogels en uitlopende onderzoeken,"AD/Algemeen Dagblad.nl, 459 words",,2/9/2023
Omstreden plan voor Haalderense flexwoningen vertraagd door broedende vogels en uitlopende onderzoeken,"AD/Algemeen Dagblad.nl, 462 words",,2/9/2023
De verbouwing van Droom en Daad werd door één vleermuis een jaar vertraagd,"NRC.nl, 1509 words",,4/9/2023
Ambtenarentekort in West-Brabant staat nieuwbouw in de weg en het wordt nog erger ook,"AD/Algemeen Dagblad.nl, 537 words",,4/9/2023
"Ambtenarentekort in West-Brabant nekt nieuwbouw, en het wordt nog erger","AD/Algemeen Dagblad.nl, 537 words",,4/9/2023
"De vleermuis in het Veerhuis Die ene dwergvleermuis De verbouwing van het Veerhuis tot schrijvershuis in Rotterdam werd door verplicht ecologisch onderzoek een jaar vertraagd en veel duurder door één vleermuis. ,,Gekkenwerk, de verhouding is hier zoek.""","NRC, ECONOMIE; Blz. 1, 1549 words",,5/9/2023
Politiek Liefde voor de gemeente ver te zoeken bij ministerswissel Brieven,"NRC, OPINIE; Blz. 17, 303 words",,6/9/2023
Provincie breekt zich het hoofd over hoe Chemours te stoppen: ‘Het is een misdaad tegen de menselijkheid’,"AD/Algemeen Dagblad.nl, 671 words",,6/9/2023
Provincie breekt zich het hoofd over hoe Chemours te stoppen: ‘Het is een misdaad tegen de menselijkheid’,"AD/Algemeen Dagblad.nl, 671 words",,6/9/2023
"De Jonge buigt voor Eerste Kamer, toch deels uitstel Wet kwaliteitsborging bouw","NRC.nl, 767 words",,11/9/2023
