Headline,Publication,Summary,Date
SGP’er Huig van Barneveld debuteert op 73-jarige leeftijd als wethouder in Bunschoten: ‘Dit had ik drie maanden geleden niet geloofd’,"AD/Algemeen Dagblad.nl, 715 words",,28/11/2019
Zo haalde Raalte de koning binnen,"De Volkskrant.nl, 749 words",,4/12/2019
Koning spelen,"de Volkskrant, Opinie en Debat; Blz. 19, 776 words",,5/12/2019
Rotterdam bindt de strijd aan met fastfood,"De Telegraaf, REGIO; Blz. 14, 438 words",,6/12/2019
Het Nederlandse landschap is van niemand meer,"De Volkskrant.nl, 638 words",,8/12/2019
Ons landschap is van niemand meer,"de Volkskrant, Opinie en Debat; Blz. 18, 643 words",,9/12/2019
Bewoners Arnhemse wijk Elderveld in actie tegen bomenkap: ‘Onze burgerrechten worden geschonden’,"AD/Algemeen Dagblad.nl, 766 words",,11/12/2019
Wachten op klachten is geen optie meer',"NRC Handelsblad, BINNENLAND; Blz. 10, 1075 words",,12/12/2019
Wachten op klachten is geen optie meer',"NRC.NEXT, BINNENLAND; Blz. 10, 1078 words",,12/12/2019
Reinier van Zutphen Ombudsman: 'Omgevingswet gaat zeker voor problemen zorgen',"NRC.NEXT, IN HET NIEUWS; Blz. 2, 125 words",,12/12/2019
Provincie maakt zich zorgen over financiën gemeente Westland,"AD/Algemeen Dagblad.nl, 287 words",,19/12/2019
Deep dive':dit was het ergste jargon van 2019 Kantoorjargon 2019 Wat waren dit jaar de ergste termen op kantoor? Huiver mee met Japke-d. Bouma carrière,"NRC.NEXT, ECONOMIE; Blz. 1, 1732 words",,27/12/2019
Deep dive':dit was het ergste jargon van 2019 Kantoorjargon 2019 Wat waren dit jaar de ergste termen op kantoor? Huiver mee met Japke-d. Bouma carrière,"NRC Handelsblad, ECONOMIE; Blz. 1, 1734 words",,27/12/2019
5000 huizen maar geen scholen of sporthal: vrees voor spookwijk Binckhorst,"AD/Algemeen Dagblad.nl, 1440 words",,30/12/2019
Bouwer mist regie bij Binckhorst: ‘Het is niet goed doordacht’,"AD/Algemeen Dagblad.nl, 269 words",,11/1/2020
"Binckhorst: Wat een prachtige wijk had kunnen worden, wordt nu een wat eenzijdig stadsdeel","AD/Algemeen Dagblad.nl, 336 words",,12/1/2020
Binnenkort kun je misschien in Haags stadhuis direct de 'nieuwe’ stad zien,"AD/Algemeen Dagblad.nl, 166 words",,14/1/2020
Hofstad wordt plofstad: Den Haag is over twintig jaar cosmetisch kapotgebouwd,"AD/Algemeen Dagblad.nl, 379 words",,15/1/2020
Herbouw Zwaluwse schuur geen kleine klus: ‘Blij dat vorige bewoonster bouwtekeningen nog had’,"AD/Algemeen Dagblad.nl, 582 words",,22/1/2020
"Minder regels, meer woningen? Vijf oplossingen voor de achterstand in de woningbouw","De Volkskrant.nl, 1715 words",,22/1/2020
Fabriek op de Binckhorst toch weg?,"AD/Algemeen Dagblad.nl, 277 words",,23/1/2020
